dataset,severity,condition,shd_mean,shd_std
alarm,30,no_constraints,31.9,4.571
alarm,30,chi2_selective,23.9,3.477
alarm,30,logistic_selective,19.1,3.004
alarm,30,global_oracle,18.367,2.702
