dataset,algorithm,mechanism,rate,shd_mean,shd_std,fp_rate_mean,fp_rate_std,fn_rate_mean,fn_rate_std
asia,PC,MCAR,0.1,7.4,0.7701320979389588,0.4365873015873017,0.07309624987488143,0.6208333333333333,0.02282177322938192
asia,PC,MCAR,0.2,8.1,1.3480509557543976,0.49849206349206354,0.1224704702429463,0.6458333333333334,0.06633357881315405
asia,PC,MCAR,0.3,8.4,1.0034423509719619,0.5388888888888889,0.11084258740498121,0.75,0.07340252743933794
asia,PC,MCAR,0.5,8.533333333333333,0.7302967433402215,0.6555555555555554,0.2765874880930157,0.9125,0.05826144996242488
asia,PC,MAR,0.1,7.5,1.5256428831468234,0.4466666666666667,0.1452570716290176,0.6416666666666667,0.09128709291752769
asia,PC,MAR,0.2,8.7,1.5789564428051404,0.5796031746031746,0.17139855983115895,0.7625,0.1105920587034886
asia,PC,MAR,0.3,9.166666666666666,1.1768846465411842,0.6162698412698414,0.10948111421208362,0.775,0.06885767430246849
asia,PC,MAR,0.5,8.2,0.7611243951073873,0.4944444444444444,0.2607215648062981,0.8833333333333333,0.0317135164628078
asia,PC,MNAR,0.1,7.466666666666667,1.0416609195243756,0.44182539682539695,0.09598574216890705,0.6333333333333333,0.04564354645876384
asia,PC,MNAR,0.2,8.5,1.8523051807838309,0.5348412698412699,0.16201638590668835,0.6875,0.10250105129822513
asia,PC,MNAR,0.3,9.433333333333334,1.5905612397739564,0.655,0.1593875481078397,0.7916666666666666,0.11528325934435354
asia,PC,MNAR,0.5,9.0,1.9475891374404053,0.5802380952380953,0.17422140055394514,0.75,0.09284766908852593
asia,GES,MCAR,0.1,5.666666666666667,0.9222660747548282,0.3378968253968255,0.0666447325907997,0.4,0.06052927476393778
asia,GES,MCAR,0.2,5.666666666666667,0.9589266029707685,0.3398809523809525,0.06899858827644681,0.39166666666666666,0.05427156068191309
asia,GES,MCAR,0.3,7.033333333333333,2.125109868694554,0.42177248677248685,0.16364748264673193,0.5208333333333334,0.12748957586415835
asia,GES,MCAR,0.5,9.266666666666667,1.1724814044061256,0.7166666666666667,0.2048268121816715,0.9125,0.05826144996242488
asia,GES,MAR,0.1,5.2,0.9613209303008454,0.30178571428571427,0.06554426227121941,0.37916666666666665,0.05173012417466671
asia,GES,MAR,0.2,4.933333333333334,1.9640446187314118,0.28161375661375665,0.13874800632274056,0.35833333333333334,0.10754576678801907
asia,GES,MAR,0.3,5.833333333333333,1.533158410812033,0.33690476190476193,0.11251145674541628,0.44166666666666665,0.09700989403267012
asia,GES,MAR,0.5,10.533333333333333,1.3829836145670416,0.7877777777777779,0.1297605614991009,0.8958333333333334,0.05764162967217675
asia,GES,MNAR,0.1,5.133333333333334,0.43417248545530474,0.2964285714285715,0.0336862620444566,0.37916666666666665,0.022821773229381916
asia,GES,MNAR,0.2,5.5,1.5028708160235107,0.32751322751322753,0.09868903619799402,0.37916666666666665,0.08358439193242148
asia,GES,MNAR,0.3,5.6,1.1325893433586842,0.33402116402116416,0.0757863023496451,0.38333333333333336,0.05622205563860044
asia,GES,MNAR,0.5,5.433333333333334,1.0400044208570938,0.3134259259259259,0.0854319176837015,0.4,0.06885767430246847
