dataset,algorithm,mechanism,rate,shd_mean,shd_std,fp_rate_mean,fp_rate_std,fn_rate_mean,fn_rate_std
asia,PC,none,0.0,8.333333333333334,1.8445321495096563,0.5161507936507937,0.14670105054242097,0.6625,0.0877766562322258
asia,GES,none,0.0,5.166666666666667,0.6477192523656043,0.3068783068783069,0.047591482321444493,0.35833333333333334,0.043218237955220055
sachs,PC,none,0.0,27.333333333333332,4.062726563089963,0.7330922449023135,0.0895824520598503,0.6529411764705884,0.11698597221370524
sachs,GES,none,0.0,30.0,0.0,0.8823529411764707,1.1292025708167404e-16,0.8823529411764707,1.1292025708167404e-16
